Date,home_team,Score,away_team,Next_Date,Next_Team_Distances,home_talent,away_talent,avg_talent,scaled_avg_talent
2025-06-07,Loudoun United FC,,Charleston Battery,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.8369104925014094), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.2413060970096429), np.float64(0.3597817521744052))]",0.4632961156438214,0.5182337734143684,0.4907649445290949,0.44243962626606204
2025-06-07,Rhode Island FC,,Miami FC,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.7074338064685644), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.16918450259239481), np.float64(0.3597817521744052))]",0.414486961528953,0.3800922981552468,0.3972896298420999,0.2827983642743255
2025-06-07,Greenville Triumph SC,,FC Naples,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.8902836683597124), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.2649952036225677), np.float64(0.3597817521744052))]",0.3328260345463886,0.3123543511543944,0.3225901928503915,0.15522337368605998
2025-06-07,Monterey Bay FC,,Lexington SC,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.27562683214844996), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.709321065729676), np.float64(0.3597817521744052))]",0.4200057416066431,0.3447517815387638,0.38237876157270345,0.25733292630399285
2025-06-07,Oakland Roots SC,,El Paso Locomotive FC,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.27359537599932904), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.7328954596905124), np.float64(0.3597817521744052))]",0.2949655063053242,0.4347485450436453,0.36485702567448475,0.22740853353308832
2025-06-07,New Mexico United,,Colorado Springs Switchbacks FC,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.5676942127026396), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.6213355191498446), np.float64(0.3597817521744052))]",0.3434619816622498,0.3790917261298299,0.3612768538960398,0.22129415838739364
2025-06-07,Phoenix Rising FC,,Orange County SC,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.4459716376126568), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.6261301553548686), np.float64(0.3597817521744052))]",0.4312387259857376,0.4635228077433299,0.44738076686453376,0.3683462156577548
2025-06-07,Chattanooga Red Wolves SC,,Portland Hearts of Pine,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.9181342345092531), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.31625993664064966), np.float64(0.3597817521744052))]",0.2995946292625152,0.2601625566303813,0.27987859294644823,0.08227862101864508
2025-06-07,San Antonio FC,,Las Vegas Lights FC,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.6538930467423834), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.4092988463376851), np.float64(0.3597817521744052))]",0.4077174664194917,0.3121706549611259,0.3599440606903088,0.2190179554128503
2025-06-07,AV Alta FC,,Spokane Velocity FC,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.33435624699523736), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.6715368228465188), np.float64(0.3597817521744052))]",0.2983222599075663,0.4532744718434864,0.37579836587552634,0.24609463652641916
2025-06-07,Westchester SC,,One Knoxville SC,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.7625997644865009), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.2006347559281012), np.float64(0.3597817521744052))]",0.236716744108654,0.3698083551641927,0.30326254963642335,0.12221477281281612
2025-06-07,Richmond Kickers,,Texoma FC,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.834435239333347), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.220989866769296), np.float64(0.3597817521744052))]",0.2932603639939071,0.2266866558547882,0.25997350992434765,0.048283842992607295
