Date,home_team,Score,away_team,Venue
2025-06-07,Rhode Island FC,NA,Miami FC,Centreville Bank Stadium
2025-06-07,Pittsburgh Riverhounds FC,NA,Detroit City FC,Highmark Stadium
2025-06-07,Monterey Bay FC,NA,Lexington SC,Cardinale Stadium
2025-06-07,Oakland Roots SC,NA,El Paso Locomotive FC,Oakland-Alameda County Coliseum
2025-06-07,New Mexico United,NA,Colorado Springs Switchbacks FC,Isotopes Park
2025-06-07,Phoenix Rising FC,NA,Orange County SC,Phoenix Rising Soccer Stadium
2025-06-07,Louisville City FC,NA,Tampa Bay Rowdies,Lynn Family Stadium
2025-06-07,San Antonio FC,NA,Las Vegas Lights FC,Toyota Field
2025-06-07,Sacramento Republic FC,NA,FC Tulsa,Heart Health Park
2025-06-11,Louisville City FC,NA,Rhode Island FC,Lynn Family Stadium
2025-06-14,Loudoun United FC,NA,Detroit City FC,Segra Field
2025-06-14,Hartford Athletic,NA,Charleston Battery,Trinity Health Stadium
2025-06-14,Indy Eleven,NA,Pittsburgh Riverhounds FC,Michael A. Carroll Stadium
2025-06-14,Lexington SC,NA,New Mexico United,Lexington SC Stadium
2025-06-14,Rhode Island FC,NA,North Carolina FC,Centreville Bank Stadium
2025-06-14,Tampa Bay Rowdies,NA,Miami FC,Al Lang Stadium
2025-06-14,Colorado Springs Switchbacks FC,NA,Oakland Roots SC,Weidner Field
2025-06-14,FC Tulsa,NA,Phoenix Rising FC,ONEOK Field
2025-06-14,Las Vegas Lights FC,NA,Monterey Bay FC,Cashman Field
2025-06-14,El Paso Locomotive FC,NA,Orange County SC,Southwest University Park
2025-06-14,Louisville City FC,NA,Birmingham Legion FC,Lynn Family Stadium
2025-06-14,Sacramento Republic FC,NA,San Antonio FC,Heart Health Park
2025-06-18,Miami FC,NA,Charleston Battery,South Dade Kia Field at Pitbull Stadium
2025-06-18,Birmingham Legion FC,NA,Sacramento Republic FC,Protective Stadium
2025-06-20,Lexington SC,NA,Colorado Springs Switchbacks FC,Lexington SC Stadium
2025-06-20,Hartford Athletic,NA,Loudoun United FC,Trinity Health Stadium
2025-06-20,North Carolina FC,NA,Louisville City FC,First Horizon Stadium at WakeMed Soccer ...
2025-06-21,Detroit City FC,NA,Miami FC,Keyworth Stadium
2025-06-21,Pittsburgh Riverhounds FC,NA,Tampa Bay Rowdies,Highmark Stadium
2025-06-21,Indy Eleven,NA,Las Vegas Lights FC,Michael A. Carroll Stadium
2025-06-21,Rhode Island FC,NA,Sacramento Republic FC,Centreville Bank Stadium
2025-06-21,Charleston Battery,NA,Phoenix Rising FC,Patriots Point Soccer Complex
2025-06-21,Monterey Bay FC,NA,El Paso Locomotive FC,Cardinale Stadium
2025-06-21,New Mexico United,NA,San Antonio FC,Isotopes Park
2025-06-21,Birmingham Legion FC,NA,Oakland Roots SC,Protective Stadium
2025-06-25,Tampa Bay Rowdies,NA,Indy Eleven,NA
2025-06-25,Loudoun United FC,NA,Louisville City FC,Segra Field
2025-07-02,Birmingham Legion FC,NA,Charleston Battery,Protective Stadium
2025-07-03,Loudoun United FC,NA,Orange County SC,Segra Field
2025-07-04,El Paso Locomotive FC,NA,San Antonio FC,Southwest University Park
2025-07-04,Las Vegas Lights FC,NA,Sacramento Republic FC,Cashman Field
2025-07-04,Phoenix Rising FC,NA,Lexington SC,Phoenix Rising Soccer Stadium
2025-07-04,Colorado Springs Switchbacks FC,NA,Louisville City FC,Weidner Field
2025-07-04,Pittsburgh Riverhounds FC,NA,New Mexico United,Highmark Stadium
2025-07-05,Rhode Island FC,NA,Birmingham Legion FC,Centreville Bank Stadium
2025-07-05,Oakland Roots SC,NA,Detroit City FC,Oakland-Alameda County Coliseum
2025-07-05,Indy Eleven,NA,Monterey Bay FC,Michael A. Carroll Stadium
2025-07-05,Miami FC,NA,FC Tulsa,South Dade Kia Field at Pitbull Stadium
2025-07-05,Charleston Battery,NA,North Carolina FC,Patriots Point Soccer Complex
2025-07-11,North Carolina FC,NA,Birmingham Legion FC,First Horizon Stadium at WakeMed Soccer ...
2025-07-12,Sacramento Republic FC,NA,El Paso Locomotive FC,Heart Health Park
2025-07-12,Miami FC,NA,Lexington SC,South Dade Kia Field at Pitbull Stadium
2025-07-12,Indy Eleven,NA,Rhode Island FC,Michael A. Carroll Stadium
2025-07-12,Detroit City FC,NA,Hartford Athletic,Keyworth Stadium
2025-07-12,New Mexico United,NA,Charleston Battery,Isotopes Park
2025-07-12,Monterey Bay FC,NA,Orange County SC,Cardinale Stadium
