Player,Team,Minutes,Fielding,Goals Added,League,Goals Added p90
Edward Delgado,FCN,814,0.06,0.77,USL1,0.08513513513513514
Rashid Nuhu,OMA,408,0.03,0.21,USL1,0.0463235294117647
Cole Jensen,OMA,100,0.0,0.15,USL1,0.135
Sean Lewis,KNX,302,0.0,0.13,USL1,0.038741721854304634
Bernd Schipmann,MAD,303,0.02,0.07,USL1,0.020792079207920793
Tony Halterman,FCN,91,0.0,-0.24,USL1,-0.23736263736263735
Johan Garibay,KNX,401,0.02,-0.37,USL1,-0.08304239401496259
Andrew Hammersley,WES,205,0.01,-0.4,USL1,-0.175609756097561
Jason Smith,CHA,726,0.07,-0.41,USL1,-0.050826446280991734
Gunther Rankenburg,GVL,804,0.02,-0.5,USL1,-0.055970149253731345
Austin Pack,TRM,717,-0.27,-0.57,USL1,-0.0715481171548117
Joel Serrano,FCN,8,0.0,-0.59,USL1,-6.637499999999999
Carlos Avilez,AVA,463,-0.63,-0.67,USL1,-0.13023758099352054
James Sneddon,RIC,1020,-0.12,-0.69,USL1,-0.06088235294117647
Wallis Lapsley,MAD,405,0.01,-0.83,USL1,-0.18444444444444444
Kashope Oladapo,POR,105,0.0,-0.87,USL1,-0.7457142857142857
Dane Jacomen,WES,510,-0.07,-1.45,USL1,-0.25588235294117645
Russell Shealy,OMA,99,-0.02,-1.48,USL1,-1.3454545454545455
Mason McCready,TXO,599,0.02,-2.76,USL1,-0.4146911519198664
Daniel Vitiello,SAC,918,0.05,4.09,USLC,0.4009803921568627
Nico Campuzano,MB,1084,0.13,3.7,USLC,0.30719557195571956
Raiko Arozarena,LV,685,-0.26,1.95,USLC,0.2562043795620438
Luis Zamudio,CHS,808,0.02,1.26,USLC,0.14034653465346536
Hugo Fauroux,LDN,1000,-0.19,1.12,USLC,0.10080000000000001
Matt Van Oekel,BHM,898,0.06,0.69,USLC,0.06915367483296213
Christian Herrera,COS,502,0.02,0.66,USLC,0.11832669322709163
Raphael Spiegel,OAK,55,0.0,0.62,USLC,1.0145454545454546
Damian Las,LOU,893,0.07,0.55,USLC,0.05543113101903696
Kristopher Shakes,NM,138,-0.0,0.48,USLC,0.31304347826086953
Koke Vegas,RI,902,0.05,0.44,USLC,0.04390243902439024
Bill Hamid,MIA,614,0.03,0.31,USLC,0.045439739413680784
Logan Ketterer,LEX,1002,0.07,0.26,USLC,0.023353293413173656
Sebastian Mora-Mora,ELP,103,0.01,0.25,USLC,0.21844660194174756
Johan Penaranda,TUL,707,0.05,0.16,USLC,0.020367751060820366
Bryan Dowd,TUL,209,0.02,0.05,USLC,0.0215311004784689
Carlos Saldaña,DET,299,0.02,0.04,USLC,0.012040133779264214
Carlos Herrera,DET,702,-0.03,-0.05,USLC,-0.006410256410256411
Abraham Romero,COS,499,0.08,-0.08,USLC,-0.014428857715430864
Jake McGuire,NC,1021,0.05,-0.14,USLC,-0.012340842311459354
Felipe Rodriguez,MIA,200,0.02,-0.25,USLC,-0.1125
Christian Garner,CHS,100,-0.03,-0.35,USLC,-0.31499999999999995
Kendall McIntosh,OAK,977,0.08,-0.61,USLC,-0.05619242579324462
Alex Tambakis,NM,766,0.03,-0.7,USLC,-0.08224543080939947
Gerold Ngnepi,HFD,808,0.0,-0.85,USLC,-0.09467821782178218
Triston Henry,PHX,301,-0.23,-1.6,USLC,-0.47840531561461797
Nicholas Ammeter,LV,213,0.02,-1.62,USLC,-0.6845070422535212
Patrick Rakovsky,PHX,711,0.06,-1.86,USLC,-0.23544303797468355
Eric Dick,PIT,899,-0.2,-2.22,USLC,-0.22224694104560624
Richard Sánchez,SA,1025,0.09,-2.96,USLC,-0.25990243902439025
Jahmali Waite,ELP,910,-0.04,-3.24,USLC,-0.32043956043956046
Colin Shutler,OC,908,0.04,-3.73,USLC,-0.3697136563876652
Hunter Sulte,IND,807,0.04,-4.06,USLC,-0.45278810408921927
Nicolás Campisi,TBR,897,0.03,-4.58,USLC,-0.4595317725752508
