Player,Team,Position,Minutes,Goals Added,League,Goals Added p90
Jasper Löeffelsend,SD,FB,635,-0.59,MLS,-0.08362204724409449
Jáder Obrian,ATX,W,498,-0.6,MLS,-0.10843373493975902
Obinna Nwobodo,CIN,CM,532,-0.6,MLS,-0.10150375939849622
Jeong Sang-Bin,MIN,ST,329,-0.6,MLS,-0.1641337386018237
Matti Peltola,DCU,DM,545,-0.61,MLS,-0.10073394495412843
Jefferson Díaz,MIN,CB,919,-0.61,MLS,-0.05973884657236126
Forster Ajago,RSL,ST,295,-0.61,MLS,-0.18610169491525425
Aleksandr Guboglo,MTL,FB,571,-0.62,MLS,-0.09772329246935202
John Nelson,LAG,FB,848,-0.62,MLS,-0.06580188679245283
Hosei Kijima,DCU,W,1049,-0.62,MLS,-0.05319351763584366
Wilfried Zaha,CLT,W,1206,-0.64,MLS,-0.04776119402985075
Igor,LAFC,DM,1184,-0.64,MLS,-0.04864864864864865
William Kumado,SD,FB,695,-0.64,MLS,-0.08287769784172662
Telasco Segovia,MIA,W,736,-0.64,MLS,-0.0782608695652174
Myrto Uzuni,ATX,ST,1043,-0.65,MLS,-0.056088207094918505
Marcel Hartel,STL,CM,1358,-0.65,MLS,-0.0430780559646539
Omari Glasgow,CHI,FB,587,-0.65,MLS,-0.09965928449744464
Sergio Oregel,CHI,CM,1079,-0.68,MLS,-0.05671918443002781
Samuel Piette,MTL,DM,799,-0.68,MLS,-0.07659574468085108
Dominik Marczuk,RSL,W,632,-0.69,MLS,-0.09825949367088606
Diego Chará,POR,DM,737,-0.7,MLS,-0.08548168249660787
Matt Polster,NER,CM,894,-0.71,MLS,-0.0714765100671141
Joseph Paintsil,LAG,W,525,-0.71,MLS,-0.1217142857142857
Diego Luna,RSL,AM,1181,-0.71,MLS,-0.05410668924640135
Brooks Lennon,ATL,FB,880,-0.72,MLS,-0.07363636363636364
Lucas Sanabria,LAG,DM,468,-0.73,MLS,-0.14038461538461539
Patrick Yazbek,NSH,CM,865,-0.74,MLS,-0.0769942196531792
Jeremy Ebobisse,LAFC,ST,431,-0.75,MLS,-0.15661252900232017
Agustín Ojeda,NYC,W,563,-0.76,MLS,-0.12149200710479573
Ian Harkes,SJE,CM,1076,-0.76,MLS,-0.06356877323420074
Obafemi Awodesu,HOU,CB,1237,-0.78,MLS,-0.05675020210185934
Jonathan Osorio,TOR,DM,902,-0.78,MLS,-0.0778270509977827
Gonzalo Lujan,MIA,CB,1056,-0.79,MLS,-0.06732954545454546
Nicolás Lodeiro,HOU,W,448,-0.79,MLS,-0.15870535714285716
Jakob Glesnes,PHI,CB,1327,-0.79,MLS,-0.05357950263752827
Tom Barlow,CHI,ST,236,-0.8,MLS,-0.3050847457627119
Olwethu Makhanya,PHI,CB,803,-0.8,MLS,-0.0896637608966376
Emmanuel Latte Lath,ATL,ST,1128,-0.81,MLS,-0.06462765957446809
Josh Yaro,STL,CB,1006,-0.83,MLS,-0.0742544731610338
Eryk Williamson,CLT,CM,323,-0.84,MLS,-0.23405572755417958
Luca De La Torre,SD,CM,1168,-0.84,MLS,-0.06472602739726027
Diego Fagundez,LAG,W,1227,-0.85,MLS,-0.06234718826405868
Kellyn Acosta,CHI,DM,433,-0.87,MLS,-0.18083140877598153
William Agada,"SKC, RSL",ST,387,-0.87,MLS,-0.2023255813953488
Victor Loturi,MTL,CM,882,-0.88,MLS,-0.08979591836734695
Ibrahim Aliyu,"CLB, HOU",W,335,-0.88,MLS,-0.2364179104477612
Edvard Tagseth,NSH,DM,1325,-0.93,MLS,-0.06316981132075472
Kévin Cabral,COL,W,791,-0.95,MLS,-0.10809102402022756
Jonathan Shore,NYC,DM,955,-0.95,MLS,-0.08952879581151832
Ilie Sánchez,ATX,DM,915,-0.96,MLS,-0.09442622950819671
Benjamin Cremaschi,MIA,W,788,-0.96,MLS,-0.10964467005076142
Lorenzo Insigne,TOR,AM,753,-0.99,MLS,-0.11832669322709163
Joao Ortíz,POR,DM,656,-1.0,MLS,-0.13719512195121952
Maxi Moralez,NYC,AM,1250,-1.02,MLS,-0.07344
Darlington Nagbe,CLB,CM,1246,-1.04,MLS,-0.0751203852327448
Luca Langoni,NER,W,484,-1.06,MLS,-0.19710743801652894
Shapi Suleymanov,SKC,W,1062,-1.08,MLS,-0.09152542372881356
Mauricio Pineda,CHI,DM,919,-1.1,MLS,-0.10772578890097934
Jack Maher,NSH,CB,1413,-1.11,MLS,-0.07070063694267516
Brandon Servania,DCU,CM,817,-1.11,MLS,-0.12227662178702572
Saba Lobjanidze,ATL,W,964,-1.13,MLS,-0.1054979253112033
Alhassan Yusuf,NER,CM,1210,-1.16,MLS,-0.08628099173553719
Aleksey Miranchuk,ATL,AM,1303,-1.16,MLS,-0.08012279355333844
Indiana Vassilev,PHI,W,838,-1.17,MLS,-0.12565632458233889
Kévin Denkey,CIN,ST,1147,-1.18,MLS,-0.09258936355710548
Miki Yamane,LAG,FB,1025,-1.18,MLS,-0.10360975609756096
Sebastian Kowalczyk,HOU,W,1026,-1.23,MLS,-0.10789473684210525
Antony,POR,W,1204,-1.25,MLS,-0.09343853820598007
Eric Maxim Choupo-Moting,NYRB,ST,1353,-1.25,MLS,-0.08314855875831485
Zavier Gozo,RSL,W,540,-1.27,MLS,-0.21166666666666667
Jacen Russell-Rowe,CLB,ST,1102,-1.28,MLS,-0.10453720508166969
Samuel Rogers,CHI,CB,922,-1.3,MLS,-0.12689804772234273
Caden Clark,MTL,AM,910,-1.36,MLS,-0.1345054945054945
Mamadou Fofana,NER,CB,1175,-1.38,MLS,-0.10570212765957446
Jesús Ferreira,SEA,W,892,-1.48,MLS,-0.1493273542600897
Ariath Piol,RSL,ST,625,-1.5,MLS,-0.21599999999999997
Nathan Ordaz,LAFC,ST,778,-1.56,MLS,-0.18046272493573265
Ezequiel Ponce,HOU,ST,1249,-2.12,MLS,-0.15276220976781424
Amine Bassi,HOU,AM,1191,-2.13,MLS,-0.1609571788413098
Dejan Joveljic,SKC,ST,1203,-3.11,MLS,-0.23266832917705735
Anuar Peláez,SPK,ST,665,1.34,USL1,0.18135338345864666
Leonardo Castro,GVL,ST,626,1.2,USL1,0.17252396166134185
Luis Gil,SPK,AM,759,1.13,USL1,0.13399209486166005
Souaibou Marou,CLT,W,230,1.12,USL1,0.4382608695652174
