Player,Team,Position,Minutes,Goals Added,League,Goals Added p90
Braian Ojeda,RSL,DM,1272,-0.35,MLS,-0.024764150943396224
Bartosz Slisz,ATL,DM,956,-0.35,MLS,-0.032949790794979075
Ramiro Enrique,ORL,ST,333,-0.35,MLS,-0.0945945945945946
Hannes Wolf,NYC,W,1241,-0.36,MLS,-0.026107977437550365
Brayan Ceballos,NER,CB,1117,-0.36,MLS,-0.02900626678603402
Monsef Bakrar,NYC,W,383,-0.36,MLS,-0.0845953002610966
Federico Redondo,MIA,CM,503,-0.36,MLS,-0.06441351888667993
Yaw Yeboah,LAFC,CM,341,-0.37,MLS,-0.09765395894428153
Paul Rothrock,SEA,FB,1086,-0.37,MLS,-0.030662983425414365
Sean Nealis,NYRB,CB,1108,-0.37,MLS,-0.030054151624548737
Yuya Kubo,CIN,ST,607,-0.37,MLS,-0.05485996705107084
Miguel Berry,LAG,ST,436,-0.37,MLS,-0.07637614678899082
Gilberto Flores,CIN,CB,743,-0.38,MLS,-0.046029609690444145
Daniel Steres,HOU,FB,446,-0.38,MLS,-0.07668161434977579
Ashley Westwood,CLT,DM,1412,-0.38,MLS,-0.024220963172804533
Chris Durkin,STL,CM,397,-0.38,MLS,-0.08614609571788413
Josh Bauer,NSH,FB,381,-0.39,MLS,-0.09212598425196851
Deandre Kerr,TOR,ST,255,-0.39,MLS,-0.13764705882352943
Matthew Edwards,ATL,FB,786,-0.39,MLS,-0.044656488549618324
Reggie Cannon,COL,FB,925,-0.39,MLS,-0.03794594594594595
Brian Anunga,CIN,CM,859,-0.39,MLS,-0.04086146682188591
Tim Ream,CLT,FB,1247,-0.39,MLS,-0.028147554129911788
Emil Forsberg,NYRB,AM,1316,-0.4,MLS,-0.02735562310030395
Wikelman Carmona,NYRB,W,678,-0.4,MLS,-0.05309734513274336
Eric Miller,POR,FB,365,-0.4,MLS,-0.09863013698630138
Kevin Long,TOR,CB,1006,-0.4,MLS,-0.03578528827037773
Jackson Yueill,NER,DM,408,-0.41,MLS,-0.09044117647058823
Boris Enow,DCU,CM,745,-0.41,MLS,-0.04953020134228188
Noah Cobb,ATL,CB,409,-0.41,MLS,-0.0902200488997555
Dave Romney,SJE,CB,1323,-0.42,MLS,-0.02857142857142857
Kaick,FCD,CM,567,-0.42,MLS,-0.06666666666666667
Tyler Wolff,RSL,W,335,-0.43,MLS,-0.1155223880597015
Mohammed Sofo,NYRB,W,473,-0.43,MLS,-0.08181818181818182
Tomás Ángel,SD,ST,373,-0.43,MLS,-0.10375335120643432
Bryce Duke,MTL,AM,470,-0.44,MLS,-0.08425531914893618
Felipe Mora,POR,ST,854,-0.44,MLS,-0.046370023419203744
Sigurd Rosted,TOR,CB,1107,-0.44,MLS,-0.03577235772357724
Cristhian Paredes,POR,DM,332,-0.45,MLS,-0.12198795180722892
Jimer Fory,POR,FB,960,-0.45,MLS,-0.0421875
Ronald Hernández,ATL,FB,307,-0.45,MLS,-0.13192182410423453
Andrés Cubas,VAN,DM,978,-0.45,MLS,-0.04141104294478527
Logan Farrington,FCD,ST,628,-0.45,MLS,-0.06449044585987261
Derrick Etienne Jr.,TOR,ST,390,-0.45,MLS,-0.10384615384615385
Khiry Shelton,SKC,FB,563,-0.46,MLS,-0.07353463587921848
Mitja Ilenic,NYC,FB,934,-0.46,MLS,-0.04432548179871521
Nathan Byrne,CLT,FB,804,-0.46,MLS,-0.05149253731343284
Artur,HOU,DM,1367,-0.47,MLS,-0.030943672275054863
Jonathan Dean,CHI,FB,624,-0.47,MLS,-0.06778846153846153
Jules-Anthony Vilsaint,MTL,ST,137,-0.48,MLS,-0.31532846715328466
Sebastien Ibeagha,FCD,CB,1260,-0.48,MLS,-0.03428571428571429
Dániel Sallói,SKC,W,989,-0.48,MLS,-0.04368048533872598
Sergio Santos,CIN,ST,555,-0.48,MLS,-0.07783783783783783
Diogo Gonçalves,RSL,W,1084,-0.48,MLS,-0.03985239852398524
Oliver Larraz,COL,CM,1159,-0.48,MLS,-0.037273511647972386
Daniel Edelman,NYRB,CM,839,-0.48,MLS,-0.051489868891537546
Logan Ndenbe,SKC,FB,938,-0.49,MLS,-0.04701492537313432
Dagur Dan Thórhallsson,ORL,CM,552,-0.49,MLS,-0.07989130434782608
Oleksandr Svatok,ATX,CB,1079,-0.5,MLS,-0.04170528266913809
João Klauss,STL,ST,851,-0.51,MLS,-0.053936545240893065
Maxime Dominguez,TOR,CM,284,-0.51,MLS,-0.16161971830985916
Jared Stroud,DCU,W,803,-0.51,MLS,-0.05716064757160648
Raoul Petretta,TOR,FB,816,-0.52,MLS,-0.05735294117647059
Edwin Cerrillo,LAG,DM,1156,-0.52,MLS,-0.04048442906574395
Tsiki Ntsabeleng,FCD,CM,336,-0.52,MLS,-0.1392857142857143
Zorhan Bassong,SKC,CM,588,-0.53,MLS,-0.08112244897959184
Maximiliano Urruti,NER,ST,438,-0.55,MLS,-0.11301369863013701
Bruno Wilson,SJE,CB,811,-0.56,MLS,-0.06214549938347719
Zac McGraw,POR,CB,274,-0.57,MLS,-0.18722627737226277
Ramiro,FCD,DM,1073,-0.58,MLS,-0.04864864864864865
Nelson Palacio,RSL,DM,235,-0.58,MLS,-0.22212765957446806
Jacob Murrell,DCU,W,604,-0.59,MLS,-0.08791390728476822
Kim Kee-hee,SEA,CB,612,-0.59,MLS,-0.08676470588235294
Kevin Kelsy,POR,ST,603,-0.59,MLS,-0.08805970149253732
