player_name,rating,team_name,competition,Age,Cluster,adjustment,cluster_rating_zscore,cluster_rating_percentile,Cluster Name,Age Group
jayden nelson,6.81,Vancouver Whitecaps FC,mls,22.0,6,1.0,0.7564286530307296,69.5,Difference Makers,promising
matthew edwards,6.49,Atlanta United FC,mls,22.0,7,1.0,0.5718098279526647,54.2,Progressive Dribblers in Def 3rd,promising
azaad liadi,4.9438015579108665,Portland Hearts of Pine,usl1,27.0,0,0.717532882135104,-1.1355753368979344,14.9,High Volume Goalscorers,prime
sergio santos,6.75,FC Cincinnati,mls,30.0,6,1.0,0.6879290056670232,65.5,Difference Makers,prime
woobens pacius,5.344259992338143,Tampa Bay Rowdies,uslc,24.0,0,0.8134337887881496,-0.6533654465136686,33.5,High Volume Goalscorers,promising
gilberto flores,7.0,FC Cincinnati,mls,22.0,4,1.0,0.9194483931559201,75.8,No-Nonsense Defender,promising
marco pasalic,7.53,Orlando City SC,mls,24.0,6,1.0,1.5784244213952126,97.3,Difference Makers,promising
alexandros katranis,6.88,Real Salt Lake,mls,27.0,5,1.0,0.3363829814378963,51.5,10s,prime
sigurd rosted,6.84,Toronto FC,mls,31.0,1,1.0,1.0024410195102205,85.3,Progressive Passers in Def 3rd,prime
brandon vazquez,6.8,Austin FC,mls,26.0,0,1.0,1.099556128297343,81.5,High Volume Goalscorers,prime
blake bodily,5.417469033329077,Tampa Bay Rowdies,uslc,27.0,3,0.8134337887881496,-0.8169033199897459,23.0,Attacking FBs,prime
tyler pasher,5.832320265611033,Birmingham Legion FC,uslc,31.0,6,0.8134337887881496,-0.3597499643073838,48.7,Difference Makers,prime
jimmy medranda,5.596424466862469,San Antonio FC,uslc,31.0,6,0.8134337887881496,-0.6290629481216599,37.2,Difference Makers,prime
nick hagglund,6.83,FC Cincinnati,mls,32.0,1,1.0,0.9897099285817059,83.2,Progressive Passers in Def 3rd,Veteran
kyle adams,5.791648576171625,Louisville City FC,uslc,28.0,1,0.8134337887881496,-0.3322247106694959,44.5,Progressive Passers in Def 3rd,prime
omar valencia,7.12,New York Red Bulls,mls,21.0,3,1.0,1.2675307169378558,90.8,Attacking FBs,promising
mauricio pineda,6.59,Chicago Fire FC,mls,27.0,1,1.0,0.6841637462973464,67.6,Progressive Passers in Def 3rd,prime
daniel salloi,6.9,Sporting Kansas City,mls,29.0,0,1.0,1.219970595550083,89.5,High Volume Goalscorers,prime
joaquin fernandez,6.55,Sporting Kansas City,mls,29.0,7,1.0,0.647808035643925,59.9,Progressive Dribblers in Def 3rd,prime
aaron herrera,7.06,D.C. United,mls,28.0,3,1.0,1.1940718227009965,85.9,Attacking FBs,prime
andre lewis,5.144710764908695,Spokane Velocity FC,usl1,30.0,7,0.717532882135104,-1.1321830169354428,15.5,Progressive Dribblers in Def 3rd,prime
diego chara,6.82,Portland Timbers FC,mls,39.0,1,1.0,0.9769788376531912,80.3,Progressive Passers in Def 3rd,Veteran
mateusz klich,6.55,Atlanta United FC,mls,35.0,7,1.0,0.647808035643925,59.9,Progressive Dribblers in Def 3rd,Veteran
joao klauss,6.87,St. Louis City SC,mls,28.0,0,1.0,1.1838462553742608,88.3,High Volume Goalscorers,prime
harrison robledo,5.137535436087345,AV Alta FC,usl1,23.0,7,0.717532882135104,-1.1412715524357446,14.1,Progressive Dribblers in Def 3rd,promising
luis diaz,6.46,New England Revolution,mls,26.0,0,1.0,0.6901469396380293,65.3,High Volume Goalscorers,prime
tanner beason,6.81,New England Revolution,mls,28.0,3,1.0,0.8879930967140854,75.0,Attacking FBs,prime
kevin long,6.76,Toronto FC,mls,34.0,1,1.0,0.9005922920821008,76.1,Progressive Passers in Def 3rd,Veteran
aleksey miranchuk,7.06,Atlanta United FC,mls,29.0,5,1.0,0.5370654847044689,59.1,10s,prime
michael boxall,7.0,Minnesota United FC,mls,36.0,3,1.0,1.1206129284641384,82.2,Attacking FBs,Veteran
jamal thiare,6.31,Atlanta United FC,mls,32.0,0,1.0,0.5095252387589199,60.1,High Volume Goalscorers,Veteran
mitja ilenic,6.82,New York City FC,mls,20.0,3,1.0,0.9002362457535626,76.0,Attacking FBs,young
vuk latinovich,5.417469033329077,Orange County SC,uslc,27.0,1,0.8134337887881496,-0.8085960890213605,23.5,Progressive Passers in Def 3rd,prime
kyle hiebert,6.64,St. Louis City SC,mls,27.0,7,1.0,0.7618053471808162,66.9,Progressive Dribblers in Def 3rd,prime
yosuke hanya,5.230379261907802,Colorado Springs Switchbacks FC,uslc,26.0,6,0.8134337887881496,-1.0469624057645015,15.0,Difference Makers,prime
griffin dorsey,6.7,Houston Dynamo FC,mls,26.0,3,1.0,0.7533184572798451,66.4,Attacking FBs,prime
amine bassi,6.95,Houston Dynamo FC,mls,27.0,5,1.0,0.414426177152675,53.0,10s,prime
cameron dunbar,5.669633507853403,Orange County SC,uslc,22.0,6,0.8134337887881496,-0.5454830565930913,39.8,Difference Makers,promising
handwalla bwana,4.656788405056825,South Georgia Tormenta FC,usl1,26.0,6,0.717532882135104,-1.7018085961868081,1.8,Difference Makers,prime
alex mighten,6.64,San Diego FC,mls,23.0,6,1.0,0.5623463188335602,61.1,Difference Makers,promising
tai baribo,7.27,Philadelphia Union,mls,27.0,2,1.0,1.8049747520512445,97.2,Creative 9s,prime
timo baumgartl,6.45,St. Louis City SC,mls,29.0,1,1.0,0.5059284732981374,53.8,Progressive Passers in Def 3rd,prime
marco farfan,6.48,FC Dallas,mls,26.0,3,1.0,0.4839691784113637,55.9,Attacking FBs,prime
eduard atuesta,7.29,Orlando City SC,mls,28.0,5,1.0,0.7934931277673125,66.7,10s,prime
djordje mihailovic,7.39,Colorado Rapids,mls,26.0,5,1.0,0.9049834073598526,80.3,10s,prime
chidozie awaziem,6.87,Colorado Rapids,mls,28.0,4,1.0,0.7648296466872712,66.7,No-Nonsense Defender,prime
pep biel,7.36,Charlotte FC,mls,28.0,5,1.0,0.8715363234820912,75.8,10s,prime
