Team_1,Team_1_ID,Team_2,Team_2_ID,Distance_miles
Austin FC,1218886,St. Louis CITY SC,1427963,710.6386819808589
Austin FC,1218886,Toronto FC,56453,1357.158742459987
Birmingham Legion FC,1003207,Charlotte Independence,614315,360.9503426676525
Birmingham Legion FC,1003207,Chattanooga Red Wolves SC,1004918,135.98952330558072
Birmingham Legion FC,1003207,Chicago Fire FC,6397,571.7495073539709
Birmingham Legion FC,1003207,Detroit City FC,540855,642.9453854545833
Birmingham Legion FC,1003207,El Paso Locomotive FC,1003209,1152.2231491299606
Birmingham Legion FC,1003207,FC Naples,1701877,591.6348181786227
Birmingham Legion FC,1003207,Forward Madison FC,1004919,674.6641408417519
Birmingham Legion FC,1003207,Greenville Triumph SC,1004920,268.46124580850653
Birmingham Legion FC,1003207,Houston Dynamo FC,8259,566.8266423762668
Birmingham Legion FC,1003207,Indy Eleven,514649,432.6132019488721
Birmingham Legion FC,1003207,Las Vegas Lights FC,915809,1614.909004763177
Birmingham Legion FC,1003207,Los Angeles FC,867280,1807.880135734885
Birmingham Legion FC,1003207,Louisville City FC,614316,333.7243168285476
Birmingham Legion FC,1003207,Miami FC,721896,665.2954205768174
Birmingham Legion FC,1003207,Minnesota United FC,207242,864.8293685603286
Birmingham Legion FC,1003207,Monterey Bay FC,915808,1984.5674896200574
Birmingham Legion FC,1003207,Nashville SC,915807,164.47396183239115
Birmingham Legion FC,1003207,New Mexico United,1003208,1136.2001085329564
Birmingham Legion FC,1003207,Orange County SC,267813,1848.840867808824
Birmingham Legion FC,1003207,Pittsburgh Riverhounds FC,267816,604.4958720905458
Birmingham Legion FC,1003207,Real Salt Lake City,6606,1463.8049439939055
Birmingham Legion FC,1003207,San Diego FC,1701119,1753.9690873806628
Birmingham Legion FC,1003207,Tampa Bay Rowdies,197328,459.95753516992625
Birmingham Legion FC,1003207,Texoma FC,1701884,565.7161280843728
Birmingham Legion FC,1003207,Union Omaha,1121685,733.8503188676071
Birmingham Legion FC,1003207,Vancouver Whitecaps FC,307691,2148.5412107140633
Birmingham Legion FC,1003207,Westchester SC,1706430,862.1445255851216
Birmingham Legion FC,1003207,Atlanta United FC,773958,135.76264129051415
Birmingham Legion FC,1003207,CF Montreal,161195,1088.721438208657
Birmingham Legion FC,1003207,Charleston Battery,162183,402.90400030937417
Birmingham Legion FC,1003207,Charlotte FC,1323940,363.82261983709344
Birmingham Legion FC,1003207,Colorado Rapids,8314,1092.0901508391626
Birmingham Legion FC,1003207,Colorado Springs Switchbacks FC,614321,1065.2747172736888
Birmingham Legion FC,1003207,Columbus Crew,6001,495.1727735247431
Birmingham Legion FC,1003207,D.C. United,6602,662.0236443681882
Birmingham Legion FC,1003207,FC Cincinnati,722265,414.68659056744127
Birmingham Legion FC,1003207,FC Dallas,6399,580.7780870125601
Birmingham Legion FC,1003207,FC Tulsa,614325,548.5717986116503
Birmingham Legion FC,1003207,Hartford Athletic,1003206,959.3705556002541
Birmingham Legion FC,1003207,Inter Miami CF,960720,642.3481259639456
Birmingham Legion FC,1003207,Lexington SC,1430405,335.00316775928536
Birmingham Legion FC,1003207,Los Angeles Galaxy,6637,1805.7998850628398
Birmingham Legion FC,1003207,Loudoun United FC,1003205,642.5586845722961
Birmingham Legion FC,1003207,New England Revolution,6580,1033.1294285607453
Birmingham Legion FC,1003207,New York City FC,546238,864.7806780402764
Birmingham Legion FC,1003207,New York Red Bulls,6514,862.1438945373354
