"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Finn McRobb","IND","2025","FB","47","-0.01","0.00","-0.02","0.01","0.00","0.02","0.00"
"","Niall McCabe","LOU","2025","AM","129","0.01","-0.01","-0.01","0.02","-0.01","-0.01","-0.00"
"","Dominic Gasso","DET","2025","CM","180","0.01","0.04","-0.07","-0.03","0.04","0.01","-0.00"
"","Alasanne Ates Diouf","DET","2025","ST","98","0.12","-0.06","0.05","0.03","-0.14","0.01","-0.00"
"","Pierce Rizzo","PHX","2025","CM","8","-0.00","0.00","-0.00","0.01","-0.00","-0.00","-0.00"
"","Finn Calloway","BHM","2025","W","2","-0.00","-0.00","-0.00","0.00","-0.00","-0.00","-0.00"
"","Alejandro Lara","MB","2025","CB","168","-0.03","-0.06","0.34","-0.17","-0.06","-0.04","-0.01"
"","Anthony Fontana","COS","2025","AM","668","0.19","0.00","0.00","-0.08","-0.19","0.07","-0.01"
"","Gedion Zelalem","NM","2025","DM","439","0.08","-0.09","0.17","0.10","-0.16","-0.11","-0.01"
"","Alejandro Araneda","PHX","2025","AM","2","-0.00","-0.00","-0.00","-0.00","-0.00","-0.00","-0.01"
"","Matthew Sheldon","DET","2025","FB","19","0.01","0.00","-0.01","0.00","-0.01","-0.00","-0.01"
"","Jorge Hernández","SA","2025","AM","1017","0.18","-0.01","-0.10","0.01","-0.04","-0.06","-0.01"
"","Pape Boye","PHX","2025","CB","574","0.03","-0.01","-0.10","-0.06","0.12","0.00","-0.01"
"","Daouda Peeters","LV","2025","CM","17","0.00","0.00","0.00","-0.01","-0.01","-0.00","-0.01"
"","Arthur Rogers","TUL","2025","CB","707","0.01","0.10","-0.12","0.20","-0.14","-0.05","-0.01"
"","Josh Erlandson","LDN","2025","W","10","-0.00","-0.00","-0.01","0.00","-0.01","-0.00","-0.02"
"","Xavi Gnaulati","MB","2025","CM","359","-0.14","0.30","-0.02","-0.03","-0.12","-0.01","-0.02"
"","Justin Portillo","SAC","2025","DM","81","0.00","0.00","-0.04","0.06","-0.02","-0.02","-0.02"
"","Giulio Doratiotto","PHX","2025","W","7","-0.00","-0.00","-0.00","0.00","-0.01","-0.00","-0.02"
