"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Miles Robinson","CIN","2025","CB","1103","-0.44","-0.13","0.75","0.50","-0.02","0.03","0.69"
"","Tanner Beason","NER","2025","CB","638","-0.05","0.06","0.84","-0.10","-0.04","-0.04","0.67"
"","Kai Wagner","PHI","2025","FB","1205","-0.43","0.06","0.20","1.15","-0.19","-0.12","0.66"
"","Jonathan Bamba","CHI","2025","W","1132","-0.04","-0.06","0.21","0.31","0.23","0.01","0.66"
"","Kerwin Vargas","CLT","2025","W","556","0.28","-0.03","0.08","0.13","-0.03","0.23","0.66"
"","Marco Pasalic","ORL","2025","W","1164","0.43","-0.09","-0.04","0.17","-0.24","0.41","0.64"
"","Pedro Amador","ATL","2025","FB","746","-0.09","0.01","0.45","0.25","0.06","-0.04","0.64"
"","Nouhou","SEA","2025","CB","1169","-0.02","0.13","0.66","0.01","-0.20","0.05","0.64"
"","Aníbal Godoy","SD","2025","CM","1038","0.11","0.15","-0.18","0.88","-0.33","0.01","0.63"
"","Julián Fernández","NYC","2025","W","793","0.43","-0.08","0.23","0.33","-0.25","-0.03","0.63"
"","Bongokuhle Hlongwane","MIN","2025","FB","1216","-0.50","0.01","0.31","-0.49","1.03","0.26","0.62"
"","Santiago Moreno","POR","2025","W","1043","0.63","-0.22","0.42","-0.05","-0.10","-0.06","0.62"
"","Luca Orellano","CIN","2025","W","943","0.70","-0.02","-0.03","0.13","-0.36","0.21","0.62"
"","Mark Delgado","LAFC","2025","CM","998","-0.01","-0.08","0.22","0.63","-0.13","-0.02","0.61"
"","Simon Becher","STL","2025","ST","622","-0.26","-0.05","0.30","-0.25","0.70","0.15","0.60"
"","Noah Allen","MIA","2025","CB","1052","0.06","0.07","0.81","-0.07","-0.19","-0.10","0.59"
"","Omir Fernández","POR, COL","2025","W","323","-0.03","-0.03","0.21","0.24","0.18","0.03","0.59"
"","Cristian Roldan","SEA","2025","CM","1221","-0.07","0.03","0.39","0.33","-0.08","-0.02","0.59"
"","Javain Brown","RSL","2025","FB","210","0.01","0.01","0.51","-0.06","0.05","0.07","0.58"
"","Martín Ojeda","ORL","2025","AM","1152","-0.10","-0.12","-0.15","0.29","0.39","0.26","0.58"
"","David Martínez","LAFC","2025","W","743","0.37","-0.05","0.03","-0.19","0.28","0.15","0.58"
"","Guilherme Biro","ATX","2025","FB","1286","-0.24","0.06","0.42","0.03","0.38","-0.08","0.57"
"","Mark-Anthony Kaye","SJE","2025","CM","497","0.11","0.04","0.28","0.04","-0.02","0.11","0.56"
"","Michael Boxall","MIN","2025","CB","1095","0.11","-0.14","0.60","0.08","-0.02","-0.07","0.55"
"","Jonathan Rodríguez","POR","2025","W","190","0.01","0.36","-0.05","0.19","0.01","0.03","0.54"
"","Niko Tsakiris","SJE","2025","CM","272","0.02","0.02","0.07","0.26","0.08","0.09","0.54"
"","Tayvon Gray","NYC","2025","FB","434","0.02","0.01","0.41","0.20","-0.06","-0.03","0.54"
"","Tomas Totland","STL","2025","FB","363","-0.13","0.02","0.09","0.32","0.22","0.01","0.53"
"","Iván Angulo","ORL","2025","W","1140","0.41","-0.06","-0.01","0.17","0.01","0.01","0.53"
"","Rodrigues","SJE","2025","CB","930","0.06","0.12","-0.23","0.47","0.09","0.02","0.53"
"","Jesús Barea","RSL","2025","ST","275","0.11","-0.01","0.11","-0.13","0.35","0.10","0.53"
"","Brandon Bye","NER","2025","FB","368","0.02","0.02","0.64","-0.13","0.00","-0.04","0.51"
"","Alex Mighten","SD","2025","W","480","0.17","0.28","-0.08","0.09","-0.00","0.04","0.50"
"","Emmanuel Sabbi","VAN","2025","W","513","-0.28","-0.08","0.12","0.16","0.38","0.19","0.50"
"","Lukas Engel","CIN","2025","FB","1231","-0.18","0.01","0.51","-0.01","0.08","0.08","0.50"
"","Tristan Muyumba","ATL","2025","DM","591","-0.09","0.01","0.26","0.13","0.18","-0.01","0.49"
"","George Campbell","MTL","2025","CB","894","-0.38","0.11","0.47","0.15","0.00","0.13","0.49"
"","Joran Gerbet","ORL","2025","DM","721","-0.11","0.21","0.59","0.20","-0.23","-0.17","0.48"
"","Manu García","SKC","2025","CM","1325","0.01","0.26","-0.30","0.75","-0.09","-0.15","0.48"
"","Nolan Norris","FCD","2025","FB","593","-0.07","-0.04","0.23","-0.12","0.43","0.02","0.47"
"","Liel Abada","CLT","2025","W","942","0.41","-0.05","-0.16","0.05","0.02","0.21","0.47"
"","Jack McGlynn","HOU","2025","W","1269","0.24","-0.07","-0.21","1.24","-0.69","-0.04","0.47"
"","Tate Johnson","VAN","2025","FB","804","-0.02","0.04","0.33","0.28","-0.11","-0.06","0.46"
"","Ignatius Ganago","NER","2025","ST","1104","-0.46","0.41","0.10","-0.38","0.56","0.21","0.45"
"","Stian Gregersen","ATL","2025","CB","663","-0.05","0.03","0.21","0.19","0.11","-0.06","0.44"
"","Milan Iloski","SD","2025","ST","160","0.12","-0.01","-0.07","0.07","0.14","0.19","0.44"
"","Luca Petrasso","MTL","2025","FB","1262","0.10","0.10","0.18","0.14","-0.08","-0.03","0.41"
"","Nico Cavallo","NYC","2025","FB","277","0.01","0.00","0.50","0.05","-0.10","-0.06","0.41"
