"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Nicola Rosamilia","KNX","2025","W","258","0.06","-0.04","-0.04","0.01","0.26","0.07","0.32"
"","Jake Dengler","FCN","2025","CB","815","0.05","0.08","0.04","0.11","-0.04","0.08","0.32"
"","Emiliano Terzaghi","RIC","2025","ST","769","0.56","-0.02","-0.16","-0.01","-0.45","0.38","0.29"
"","Nils Seufert","RIC","2025","CM","828","0.00","0.05","0.40","-0.05","-0.04","-0.07","0.29"
"","Alhassan","CHA","2025","AM","305","-0.15","0.20","0.18","0.07","-0.08","0.08","0.29"
"","Azaad Liadi","POR","2025","ST","480","0.06","-0.02","0.25","0.11","-0.09","-0.02","0.29"
"","Giovanni Calixtro","KNX","2025","W","174","0.08","0.01","0.08","0.03","0.06","0.01","0.27"
"","Matthew Bentley","CHA","2025","ST","561","0.24","0.18","0.06","-0.31","0.19","-0.09","0.27"
"","Pedro Hernandez","CHA","2025","AM","454","0.16","0.01","-0.09","-0.06","0.21","0.00","0.24"
"","Tobi Adewole","WES","2025","CB","505","-0.10","0.01","0.02","-0.13","0.35","0.08","0.23"
"","Koen Blommestijn","WES","2025","ST","189","0.00","-0.01","-0.03","0.24","0.03","-0.00","0.23"
"","Dean Guezen","WES","2025","CM","199","-0.06","0.23","0.02","0.03","-0.04","0.03","0.21"
"","Jaheim Brown","KNX","2025","FB","622","-0.31","0.21","0.21","0.25","-0.07","-0.09","0.21"
"","Chevone Marsh","GVL","2025","W","334","0.04","0.24","-0.04","0.01","-0.11","0.06","0.20"
"","Javier Mariona","AVA","2025","ST","53","0.02","-0.01","-0.02","-0.02","0.10","0.12","0.20"
"","Neco Brett","SPK","2025","ST","186","0.17","-0.02","-0.08","0.10","-0.02","0.05","0.19"
"","Adrian Billhardt","RIC","2025","W","148","0.11","-0.01","0.02","0.00","-0.00","0.06","0.19"
"","Mitchell Osmond","MAD","2025","CB","237","0.00","0.02","0.17","0.08","-0.05","-0.03","0.19"
"","Sergio Chavez","TXO","2025","CB","706","0.01","-0.02","0.37","-0.12","-0.08","0.02","0.18"
"","Fabrice Ngah","CLT","2025","FB","418","-0.05","0.03","0.17","0.16","-0.07","-0.05","0.18"
"","Ronald Alexis Cerritos","AVA","2025","ST","266","-0.01","0.01","0.10","-0.06","-0.02","0.15","0.18"
"","Osvaldo Lay","AVA","2025","DM","401","-0.02","-0.02","0.52","-0.10","-0.13","-0.08","0.18"
"","Alon Avrham Dery","TRM","2025","DM","531","-0.01","-0.00","0.31","-0.04","-0.03","-0.07","0.17"
"","Nathan Messer","POR","2025","FB","555","0.18","0.00","-0.10","0.16","-0.13","0.05","0.17"
"","Anton Sorenson","CLT","2025","FB","521","0.04","0.02","0.08","0.11","-0.03","-0.05","0.17"
"","Angelo Kelly-Rosales","KNX","2025","CM","366","-0.08","0.04","0.02","-0.07","0.17","0.08","0.17"
"","Patrick Langlois","POR","2025","CM","465","-0.13","-0.02","0.46","0.03","-0.15","-0.02","0.17"
"","Gabriel de Freitas","TRM","2025","CM","717","0.09","0.22","0.02","-0.06","-0.09","-0.01","0.16"
"","Michael Gonzalez","GVL","2025","W","81","-0.03","-0.00","0.08","0.02","0.06","0.04","0.16"
"","Patrick Staszewski","TXO","2025","CB","128","0.01","-0.03","0.25","-0.04","-0.03","-0.01","0.16"
"","Camron Miller","SPK","2025","CB","790","0.02","0.08","-0.50","0.00","0.44","0.08","0.13"
"","Samory Powder","WES","2025","FB","690","0.01","-0.22","0.13","0.16","-0.03","0.08","0.13"
"","Ropapa Mensah","GVL","2025","ST","352","0.39","0.01","-0.26","-0.36","0.21","0.12","0.12"
"","Maciej Bortniczuk","TXO","2025","W","234","-0.01","0.06","0.11","0.06","-0.01","-0.09","0.12"
"","Andrew Jean-Baptiste","WES","2025","CB","126","-0.03","-0.00","0.11","-0.02","0.05","-0.01","0.10"
"","Gustavo Fernandes","FCN","2025","FB","238","-0.00","0.02","0.22","0.02","-0.11","-0.05","0.09"
"","Brandon Fricke","GVL","2025","CB","804","0.13","0.09","-0.06","0.04","-0.11","0.00","0.09"
"","Collin Fernandez","SPK","2025","DM","480","0.01","0.03","0.15","0.05","-0.11","-0.06","0.08"
"","Ermin Mackic","WES","2025","W","40","0.01","-0.02","0.03","-0.01","0.08","-0.02","0.08"
"","Michael Chilaka","MAD","2025","CB","523","-0.04","0.04","-0.10","0.36","-0.11","-0.06","0.08"
"","Mehdi Ouamri","OMA","2025","ST","161","-0.02","-0.03","-0.02","-0.11","0.14","0.10","0.07"
"","Michael Reilly","POR","2025","AM","178","-0.02","0.24","0.03","-0.03","-0.12","-0.04","0.06"
"","Isidro Martinez","OMA","2025","CM","149","-0.06","0.03","0.02","0.07","0.04","-0.04","0.05"
"","Preston Kilwien","TXO","2025","CB","674","-0.03","0.05","0.25","-0.07","-0.11","-0.04","0.05"
"","Matthew Bolduc","RIC","2025","W","461","0.04","0.02","-0.03","0.11","-0.10","0.01","0.05"
"","Dani Fernández","KNX","2025","CB","658","-0.09","0.07","-0.01","-0.01","0.08","0.01","0.05"
"","Owen Green","CHA","2025","CB","317","-0.04","0.01","0.15","0.08","-0.09","-0.06","0.05"
"","Nil Vinyals","SPK","2025","ST","202","0.15","-0.06","0.21","-0.08","-0.14","-0.03","0.04"
"","Donald Benamna","TXO","2025","DM","28","0.05","0.00","-0.02","-0.05","0.02","0.04","0.04"
"","Ashkanov Apollon","AVA","2025","ST","43","-0.02","-0.00","0.00","0.07","-0.02","-0.01","0.03"
"","Jaden Jones-Riley","POR","2025","FB","225","-0.03","0.01","0.08","0.02","-0.03","-0.03","0.02"
"","Callum Johnson","KNX","2025","CM","288","-0.02","-0.01","0.14","0.05","-0.08","-0.07","0.02"
"","Rodolfo Sulia","FCN","2025","ST","37","-0.04","-0.01","0.12","0.00","-0.04","-0.02","0.02"
"","Roscoe Rubinstein","FCN","2025","CM","26","-0.04","-0.00","0.09","-0.00","-0.02","-0.01","0.02"
"","Joshua Drack","WES","2025","CB","104","0.03","0.04","-0.02","-0.05","0.01","0.01","0.02"
"","Blake Malone","OMA","2025","CB","99","0.00","0.03","-0.11","-0.04","0.08","0.04","0.01"
"","Charlie Ostrem","OMA","2025","FB","504","-0.01","-0.02","-0.23","0.36","-0.01","-0.08","0.01"
"","Ivan Agyaakwah","GVL","2025","CB","178","-0.03","-0.01","-0.05","-0.05","0.12","0.03","0.01"
"","Wynand Wessels","CHA","2025","DM","133","-0.03","0.00","-0.06","0.16","-0.04","-0.03","0.01"
"","Brayan Padilla","TXO","2025","W","185","-0.09","-0.04","0.01","0.17","-0.05","-0.01","0.00"
"","Andrew Richman","RIC","2025","W","17","-0.00","-0.00","0.03","0.00","-0.01","-0.01","0.00"
"","Ryen Jiba","OMA","2025","FB","16","0.01","0.00","-0.01","0.01","-0.00","-0.00","0.00"
"","Landon Johnson","RIC","2025","ST","13","-0.01","-0.00","0.04","-0.00","-0.02","-0.01","-0.00"
"","Omar Gómez","CHA","2025","CM","238","-0.03","0.04","0.18","-0.03","-0.13","-0.03","-0.00"
"","Adam Aoumaich","AVA","2025","FB","70","0.03","0.05","0.02","-0.13","0.00","0.03","-0.00"
"","Nzuhri Biggar","GVL","2025","AM","35","0.01","-0.00","0.01","0.02","-0.02","-0.02","-0.00"
"","Jonathan Filipe","CHA","2025","AM","148","-0.02","0.01","0.02","0.06","-0.02","-0.05","-0.00"
"","Sivert Haugli","KNX","2025","DM","485","0.07","-0.00","-0.04","-0.05","-0.10","0.11","-0.01"
"","Miles Rice","CLT","2025","ST","68","-0.07","-0.01","0.00","0.02","0.04","0.00","-0.01"
"","Anthony Patti","GVL","2025","AM","26","-0.00","0.00","0.01","-0.01","-0.02","-0.01","-0.01"
"","Yaniv Bazini","TRM","2025","ST","609","-0.40","-0.06","0.40","0.06","0.06","-0.09","-0.01"
"","Leland Gray","TXO","2025","W","7","0.00","-0.00","-0.00","-0.00","-0.01","-0.00","-0.02"
"","Gharett Morris","CHA","2025","AM","26","0.02","-0.00","-0.01","0.00","-0.01","-0.01","-0.02"
"","Colby Quinones","POR","2025","FB","188","-0.01","0.01","0.08","0.12","-0.14","-0.07","-0.02"
"","Kwaku Owusu","OMA","2025","CB","403","-0.00","0.01","-0.28","0.05","0.15","0.05","-0.02"
"","Juan Moreno","CLT","2025","ST","42","0.02","-0.01","0.00","0.02","-0.02","-0.02","-0.02"
"","Gerald Healy","TRM","2025","CB","7","-0.01","-0.00","-0.00","-0.03","0.02","-0.00","-0.02"
"","Christopher Jaime","CLT","2025","DM","19","-0.02","0.00","-0.01","-0.03","0.03","-0.00","-0.03"
"","Kemy Amiche","OMA","2025","W","239","-0.12","-0.01","-0.03","0.23","-0.08","-0.03","-0.04"
"","Yanis Lelin","CHA","2025","FB","45","-0.01","-0.00","0.03","-0.02","-0.02","-0.01","-0.04"
"","Mark Hernández","SPK","2025","W","22","0.03","-0.00","-0.00","-0.08","0.02","-0.00","-0.05"
"","Kimball Jackson","CHA","2025","FB","148","0.00","0.01","0.16","-0.05","-0.13","-0.03","-0.05"
"","Lucca Dourado Pereira","MAD","2025","ST","17","-0.01","-0.00","-0.01","-0.05","0.03","-0.01","-0.05"
"","Mikkel Gøling","KNX","2025","CM","581","-0.43","-0.02","-0.16","-0.10","0.60","0.06","-0.05"
"","Conor Doyle","TRM","2025","CM","94","-0.02","-0.00","0.00","-0.00","-0.05","0.02","-0.05"
"","Prosper Kasim","OMA","2025","AM","32","0.04","-0.00","-0.00","-0.06","-0.01","-0.01","-0.06"
"","Stavros Zarokostas","KNX","2025","W","463","0.05","-0.06","-0.09","-0.09","0.07","0.06","-0.06"
"","Shavon John-Brown","SPK","2025","W","472","-0.42","-0.04","-0.02","0.43","0.12","-0.12","-0.06"
"","Mink Peeters","WES","2025","ST","85","0.01","-0.00","-0.11","0.05","-0.04","0.04","-0.06"
"","Jordan Ayimbila","CHA","2025","FB","461","-0.06","0.01","0.20","-0.07","-0.09","-0.06","-0.06"
"","Mark Bronnik","OMA","2025","ST","123","-0.04","-0.01","0.01","-0.02","-0.01","0.00","-0.06"
"","Erick Ceja","AVA","2025","FB","75","-0.01","0.00","-0.04","0.02","-0.02","-0.01","-0.06"
"","Jimmie Villalobos","AVA","2025","CM","591","-0.17","-0.01","-0.01","-0.16","0.23","0.06","-0.07"
"","Nazeem Bartman","MAD","2025","ST","177","-0.06","0.02","-0.00","-0.09","-0.04","0.11","-0.07"
"","Dane Domic","TXO","2025","ST","25","-0.03","-0.00","-0.01","-0.00","-0.01","-0.02","-0.07"
"","Miguel Ibarra","AVA","2025","CM","27","-0.02","-0.00","-0.04","-0.01","0.01","-0.01","-0.07"
"","Scott McLeod","KNX","2025","CB","180","-0.11","0.01","-0.08","0.05","0.05","0.01","-0.07"
"","Damia Viader I Masdeu","MAD","2025","AM","157","-0.00","0.01","-0.05","0.03","-0.09","0.03","-0.08"
"","Babacar Diene","KNX","2025","ST","257","0.21","-0.04","-0.03","-0.03","-0.15","-0.05","-0.08"
"","John Murphy","MAD","2025","CM","388","-0.05","-0.01","0.12","-0.18","-0.04","0.08","-0.08"
"","Tyler Polak","GVL","2025","FB","745","-0.04","-0.25","0.38","0.04","-0.17","-0.05","-0.09"
"","Rodrigo Robles","GVL","2025","W","263","-0.15","-0.01","-0.08","-0.02","0.17","-0.01","-0.09"
"","Devin Benton","GVL","2025","FB","375","-0.10","0.00","0.21","-0.06","-0.10","-0.05","-0.09"
"","Jackson Dietrich","MAD","2025","CM","162","0.01","0.03","-0.06","-0.00","-0.04","-0.03","-0.10"
"","Lamin Jawneh","TXO","2025","W","502","0.13","-0.04","-0.02","-0.00","-0.21","0.05","-0.10"
"","Omar Hernandez","CHA","2025","AM","429","-0.08","-0.01","0.06","0.21","-0.18","-0.09","-0.10"
"","Kemar Lawrence","WES","2025","CB","205","-0.00","0.01","0.02","-0.07","-0.04","-0.02","-0.10"
"","Brandon Knapp","OMA","2025","AM","339","-0.29","0.03","0.06","-0.16","0.25","0.00","-0.11"
"","Meredith Bryce","SPK","2025","DM","116","0.00","-0.00","-0.01","-0.05","-0.06","0.01","-0.11"
"","Samuel Mahlamäki Camacho","POR","2025","CB","201","0.00","0.03","-0.02","-0.09","-0.04","0.00","-0.11"
"","Reid Valentine","TXO","2025","FB","526","-0.02","0.03","0.21","-0.00","-0.21","-0.11","-0.11"
"","Pascal Corvino","GVL","2025","W","106","0.01","0.00","-0.05","-0.02","-0.04","-0.02","-0.11"
"","Max Glasser","FCN","2025","FB","836","-0.02","0.18","-0.11","0.12","-0.17","-0.12","-0.11"
"","Marc Torrellas","FCN","2025","CM","336","0.18","-0.01","-0.09","-0.14","-0.06","0.00","-0.12"
"","Max Schneider","OMA","2025","CM","607","-0.24","-0.03","-0.24","0.10","0.25","0.04","-0.12"
"","Ismaila Jome","SPK","2025","W","506","0.07","-0.02","-0.07","0.19","-0.22","-0.06","-0.12"
"","Jake Keegan","POR","2025","W","111","-0.00","-0.01","-0.02","0.04","-0.11","-0.02","-0.13"
"","Kemali Green","POR","2025","CB","200","0.02","0.02","-0.13","-0.03","-0.04","0.02","-0.14"
"","Jonathan Kanagwa","RIC","2025","AM","89","-0.16","-0.01","0.12","-0.04","-0.00","-0.04","-0.14"
"","Josh Kirkland","RIC","2025","W","537","0.03","-0.04","-0.20","-0.53","0.51","0.08","-0.14"
"","Titus Washington","POR","2025","ST","308","-0.20","-0.03","-0.07","-0.05","0.27","-0.07","-0.14"
"","Laurence Wootton","OMA","2025","CM","242","-0.43","-0.02","0.05","0.01","0.22","0.03","-0.15"
"","Micael DeShields","CLT","2025","CB","269","-0.07","0.02","-0.00","-0.06","-0.04","0.01","-0.15"
"","Sebastián Vivas","TRM","2025","ST","248","-0.10","-0.04","-0.03","0.01","-0.01","-0.00","-0.16"
"","Pele Ousmanou","CLT","2025","CB","161","-0.03","-0.03","-0.01","0.11","-0.15","-0.06","-0.16"
"","Andre Lewis","SPK","2025","DM","794","0.22","-0.05","0.06","-0.25","-0.17","0.03","-0.16"
"","Jake Crull","MAD","2025","CB","610","-0.22","-0.03","-0.20","0.29","-0.06","0.06","-0.16"
"","Anderson Holt","OMA","2025","CB","205","-0.00","0.00","-0.03","-0.09","-0.05","-0.00","-0.17"
"","Aaron Walker","TRM","2025","W","420","-0.05","-0.06","0.10","-0.10","0.02","-0.08","-0.17"
"","Juan Galindrez","MAD","2025","ST","541","-0.16","-0.07","-0.11","-0.23","0.42","-0.01","-0.17"
"","Stuart Ritchie","KNX","2025","FB","703","-0.05","0.01","-0.13","0.18","-0.14","-0.04","-0.17"
"","Devin Boyce","MAD","2025","W","404","-0.10","0.15","-0.01","0.06","-0.20","-0.06","-0.17"
"","Jack Denton","SPK","2025","CM","351","0.04","-0.25","0.20","-0.14","-0.04","0.02","-0.17"
"","Javier Martin Gil","SPK","2025","FB","412","0.07","-0.05","-0.24","0.18","-0.06","-0.08","-0.17"
"","Rafael Jauregui","CLT","2025","W","729","-0.31","-0.06","0.13","0.01","0.01","0.04","-0.18"
"","Callum Stretch","TRM","2025","CB","505","-0.00","0.06","-0.38","0.22","-0.05","-0.03","-0.18"
"","Kimarni Smith","KNX","2025","W","130","-0.20","-0.00","-0.03","0.01","-0.02","0.08","-0.18"
"","Jonathan Bolanos","WES","2025","W","674","0.07","0.19","-0.21","-0.10","0.03","-0.16","-0.18"
"","Beckett Howell","RIC","2025","FB","248","-0.00","-0.03","-0.03","0.02","-0.08","-0.06","-0.18"
"","Christian Ortiz","AVA","2025","FB","117","-0.11","0.00","-0.08","-0.02","0.01","0.01","-0.19"
"","Klaidi Cela","RIC","2025","CB","486","-0.01","-0.18","0.37","-0.25","-0.07","-0.06","-0.19"
"","Tyler Pasnik","FCN","2025","W","140","-0.13","-0.01","-0.04","-0.12","0.10","-0.00","-0.20"
"","Derek Gebhard","MAD","2025","W","637","0.05","-0.00","-0.23","0.01","-0.11","0.08","-0.20"
"","Taylor Gray","TRM","2025","W","86","-0.07","-0.03","-0.03","-0.03","-0.01","-0.04","-0.21"
"","Ozzie Ramos","TXO","2025","DM","561","0.02","0.02","0.07","-0.10","-0.14","-0.08","-0.21"
"","Kempes Waldemar Tekiela","KNX","2025","ST","446","-0.23","-0.06","-0.11","0.06","0.20","-0.09","-0.22"
"","Luke McCormick","TXO","2025","W","59","-0.10","-0.01","-0.04","-0.01","-0.03","-0.03","-0.22"
"","Jay Tee Kamara","POR","2025","FB","75","-0.11","0.00","-0.06","-0.02","-0.06","0.03","-0.22"
"","Ualefi","CHA","2025","CM","641","0.00","-0.02","-0.02","0.10","-0.21","-0.08","-0.22"
"","Teddy Baker","TXO","2025","DM","263","-0.06","0.01","-0.12","0.01","-0.04","-0.03","-0.23"
"","Diego Pepi","TXO","2025","ST","99","-0.04","0.01","-0.04","0.01","-0.12","-0.05","-0.23"
"","Louis Herrera","GVL","2025","DM","689","0.14","0.03","-0.19","-0.19","-0.03","0.01","-0.23"
"","Prince Saydee","WES","2025","W","258","0.07","-0.08","0.06","0.02","-0.20","-0.11","-0.24"
"","Michel Poon-Angeron","POR","2025","CM","495","-0.02","0.00","-0.22","0.18","-0.10","-0.09","-0.24"
"","Garrett McLaughlin","MAD","2025","ST","174","-0.02","-0.02","-0.02","-0.02","-0.17","0.01","-0.24"
"","Kaloyan Pehlivanov","AVA","2025","CB","663","-0.04","-0.30","0.13","0.13","-0.13","-0.03","-0.24"
"","Walter Varela","POR","2025","W","447","-0.03","-0.04","0.12","-0.12","-0.12","-0.06","-0.24"
"","Harrison Robledo","AVA","2025","CM","478","-0.02","-0.02","0.01","-0.03","-0.06","-0.13","-0.24"
"","Joseph Pérez","TRM","2025","FB","57","-0.02","-0.25","-0.03","0.03","0.03","-0.01","-0.25"
"","Angelo Calfo","TXO","2025","CB","446","-0.26","0.02","0.26","-0.12","-0.07","-0.07","-0.25"
"","Emmanuel Alaribe","AVA","2025","ST","500","-0.08","-0.09","-0.00","0.06","0.00","-0.14","-0.25"
"","Brandon McManus","TXO","2025","ST","441","0.08","-0.04","-0.05","0.05","-0.18","-0.11","-0.25"
"","Rashid Tetteh","WES","2025","CB","180","-0.10","0.02","-0.13","0.02","-0.04","-0.02","-0.25"
"","Oscar Jimenez","TRM","2025","FB","564","-0.27","0.01","-0.08","0.05","0.05","-0.03","-0.26"
"","Andrés Ferrín","FCN","2025","W","745","-0.48","-0.08","0.27","-0.11","0.23","-0.08","-0.26"
"","Javen Romero","CLT","2025","CB","408","-0.08","0.03","-0.21","0.13","-0.09","-0.05","-0.27"
"","Christopher Garcia","MAD","2025","FB","123","-0.08","-0.00","-0.07","-0.09","-0.01","-0.04","-0.27"
"","Masango Akale","SPK","2025","W","241","0.00","-0.01","0.06","-0.13","-0.13","-0.08","-0.28"
"","Michael Knapp","CHA","2025","CM","669","-0.61","-0.05","0.36","-0.30","0.32","-0.01","-0.28"
"","Maximiliano Schenfeld","RIC","2025","FB","791","-0.23","0.06","0.02","-0.04","-0.11","0.02","-0.29"
"","Daniel Bouman","WES","2025","CM","360","-0.18","-0.05","0.02","-0.07","-0.03","0.01","-0.29"
"","Evan Southern","POR","2025","W","198","-0.03","-0.02","-0.16","-0.02","-0.03","-0.04","-0.30"
"","Dakota Barnathan","RIC","2025","DM","1020","0.15","-0.26","0.08","-0.08","-0.10","-0.11","-0.30"
"","Jayden Onen","FCN","2025","W","712","-0.20","-0.03","-0.09","0.17","0.01","-0.17","-0.31"
"","Mikey Lopez","POR","2025","FB","384","-0.07","0.02","0.00","0.13","-0.28","-0.12","-0.32"
"","Marco Milanese","OMA","2025","CB","508","0.02","0.01","-0.25","0.06","-0.11","-0.06","-0.32"
"","Brent Kallman","OMA","2025","CB","507","0.02","-0.01","-0.26","0.06","-0.09","-0.06","-0.33"
"","Edwin Munjoma","MAD","2025","FB","83","-0.27","-0.04","-0.04","-0.03","0.07","-0.03","-0.34"
"","Shandon Wright","POR","2025","CB","207","-0.15","0.02","-0.04","-0.10","-0.05","-0.02","-0.34"
"","José Carrera-Garcia","MAD","2025","CM","490","-0.03","0.01","-0.02","-0.05","-0.15","-0.11","-0.35"
"","Jon Paul Jordan II","TXO","2025","CM","726","-0.14","-0.01","0.35","-0.16","-0.21","-0.18","-0.35"
"","Miguel Pajaro","AVA","2025","CB","611","-0.02","-0.31","0.22","-0.13","-0.06","-0.06","-0.35"
"","Eduardo Blancas","AVA","2025","W","466","-0.13","0.07","-0.07","0.02","-0.26","0.01","-0.36"
"","Hayden Anderson","RIC","2025","W","357","-0.26","-0.05","0.12","-0.14","-0.01","-0.02","-0.37"
"","Thabo Nare","TRM","2025","CB","109","0.02","0.01","-0.40","0.01","-0.01","-0.01","-0.38"
"","Simon Fitch","RIC","2025","FB","1020","-0.17","-0.04","-0.33","0.25","0.00","-0.10","-0.38"
"","Aiden Mesias","MAD","2025","CM","392","-0.13","0.01","-0.08","-0.10","-0.05","-0.03","-0.38"
"","Zane Bubb","GVL","2025","CB","528","0.04","-0.23","-0.42","0.27","-0.03","-0.01","-0.39"
"","Ferrety Sousa","MAD","2025","FB","581","-0.20","0.03","-0.14","-0.06","0.03","-0.04","-0.39"
"","Walmer Martinez","AVA","2025","FB","486","-0.11","0.01","-0.27","-0.01","-0.02","0.01","-0.39"
"","Abel Caputo","KNX","2025","DM","473","-0.16","-0.04","-0.16","-0.03","-0.02","0.01","-0.39"
"","Juan Sebastian Palma","WES","2025","CB","180","0.01","-0.22","-0.12","-0.00","-0.04","-0.02","-0.40"
"","Anatol Prepelita","TRM","2025","CB","380","-0.00","0.02","-0.45","0.02","0.03","-0.01","-0.40"
"","Evan Lee","GVL","2025","CB","744","0.06","0.02","-0.07","-0.02","-0.23","-0.17","-0.41"
"","Eric Kinzner","CHA","2025","CB","726","0.28","-0.23","-0.48","-0.20","0.23","-0.01","-0.42"
"","Sebastian Cruz","AVA","2025","W","697","0.16","-0.10","0.09","-0.57","0.01","-0.01","-0.42"
"","Ollie Wright","POR","2025","W","357","-0.04","-0.00","0.00","-0.13","-0.18","-0.08","-0.42"
"","William Perkins","TXO","2025","FB","598","-0.04","-0.07","-0.08","-0.05","-0.11","-0.08","-0.42"
"","Joaquin Acuna","AVA","2025","CM","123","-0.11","-0.01","-0.26","-0.11","0.09","-0.03","-0.43"
"","Sebastian Velasquez","GVL","2025","AM","334","-0.07","0.03","-0.15","0.13","-0.25","-0.12","-0.44"
"","Handwalla Bwana","TRM","2025","W","241","-0.05","-0.02","-0.04","-0.05","-0.19","-0.11","-0.45"
"","Joel Johnson","WES","2025","CM","447","-0.06","-0.11","-0.06","0.05","-0.17","-0.10","-0.45"
"","Gabriel Alves","TRM","2025","FB","710","-0.03","-0.22","-0.01","0.04","-0.15","-0.09","-0.46"
"","Bobby Pierre","WES","2025","CB","326","-0.08","0.02","-0.17","-0.10","-0.12","-0.01","-0.46"
"","Bachir Ndiaye","CLT","2025","DM","709","-0.40","-0.44","0.35","-0.10","0.15","-0.03","-0.47"
"","Ian Cerro","FCN","2025","W","397","-0.18","0.03","0.08","-0.10","-0.21","-0.10","-0.48"
"","Joe Gallardo","OMA","2025","W","450","-0.01","-0.02","-0.10","-0.13","-0.22","-0.04","-0.52"
"","Jonathan Nyandjo","TRM","2025","W","415","-0.36","0.16","-0.14","-0.14","-0.06","0.03","-0.52"
"","Ian Garrett","FCN","2025","FB","127","-0.13","-0.18","-0.17","0.00","-0.05","-0.00","-0.54"
