player_id,team_id,general_position,minutes_played,data
0x5g2pW7M7,mKAqBBmqbg,FB,1744,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.0906, 'goals_added_above_avg': -0.22190000000000001, 'count_actions': 163}, {'action_type': 'Fouling', 'goals_added_raw': -0.0057, 'goals_added_above_avg': 0.0685, 'count_actions': 39}, {'action_type': 'Interrupting', 'goals_added_raw': 1.8094999999999999, 'goals_added_above_avg': 0.6976, 'count_actions': 192}, {'action_type': 'Passing', 'goals_added_raw': 0.7088, 'goals_added_above_avg': 0.0291, 'count_actions': 644}, {'action_type': 'Receiving', 'goals_added_raw': 0.8977, 'goals_added_above_avg': 0.47040000000000004, 'count_actions': 481}, {'action_type': 'Shooting', 'goals_added_raw': 0.2536, 'goals_added_above_avg': 0.0318, 'count_actions': 15}]"
0x5g2xoXM7,a2lqRX2Mr0,FB,828,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.1885, 'goals_added_above_avg': -0.26480000000000004, 'count_actions': 114}, {'action_type': 'Fouling', 'goals_added_raw': 0.2066, 'goals_added_above_avg': 0.2242, 'count_actions': 28}, {'action_type': 'Interrupting', 'goals_added_raw': 0.7939, 'goals_added_above_avg': 0.2862, 'count_actions': 121}, {'action_type': 'Passing', 'goals_added_raw': 0.2376, 'goals_added_above_avg': -0.037, 'count_actions': 390}, {'action_type': 'Receiving', 'goals_added_raw': 0.1177, 'goals_added_above_avg': -0.19, 'count_actions': 274}, {'action_type': 'Shooting', 'goals_added_raw': 0.0843, 'goals_added_above_avg': -0.0711, 'count_actions': 5}]"
0x5gJ0wjM7,YgOMngl5wN,ST,14,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0013000000000000002, 'goals_added_above_avg': 0.004, 'count_actions': 1}, {'action_type': 'Fouling', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0019, 'count_actions': 0}, {'action_type': 'Interrupting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0047, 'count_actions': 0}, {'action_type': 'Passing', 'goals_added_raw': -0.0198, 'goals_added_above_avg': -0.0145, 'count_actions': 5}, {'action_type': 'Receiving', 'goals_added_raw': 0.014400000000000001, 'goals_added_above_avg': -0.0151, 'count_actions': 5}, {'action_type': 'Shooting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.010400000000000001, 'count_actions': 0}]"
0x5gJEVLM7,EKXMeX3Q64,ST,903,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.2394, 'goals_added_above_avg': -0.2782, 'count_actions': 61}, {'action_type': 'Fouling', 'goals_added_raw': -0.0221, 'goals_added_above_avg': -0.1038, 'count_actions': 14}, {'action_type': 'Interrupting', 'goals_added_raw': 0.3277, 'goals_added_above_avg': -0.08700000000000001, 'count_actions': 39}, {'action_type': 'Passing', 'goals_added_raw': -0.41950000000000004, 'goals_added_above_avg': -0.40340000000000004, 'count_actions': 149}, {'action_type': 'Receiving', 'goals_added_raw': 1.1303, 'goals_added_above_avg': -0.0161, 'count_actions': 134}, {'action_type': 'Shooting', 'goals_added_raw': 0.3906, 'goals_added_above_avg': -0.09380000000000001, 'count_actions': 12}]"
0x5gJJWPM7,a2lqR4JMr0,ST,719,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.9902000000000001, 'goals_added_above_avg': -0.8878, 'count_actions': 77}, {'action_type': 'Fouling', 'goals_added_raw': 0.0097, 'goals_added_above_avg': -0.085, 'count_actions': 11}, {'action_type': 'Interrupting', 'goals_added_raw': 0.09570000000000001, 'goals_added_above_avg': -0.1602, 'count_actions': 13}, {'action_type': 'Passing', 'goals_added_raw': -0.44380000000000003, 'goals_added_above_avg': -0.23220000000000002, 'count_actions': 102}, {'action_type': 'Receiving', 'goals_added_raw': 1.351, 'goals_added_above_avg': -0.0546, 'count_actions': 125}, {'action_type': 'Shooting', 'goals_added_raw': 0.1462, 'goals_added_above_avg': -0.367, 'count_actions': 7}]"
0x5gJWwjM7,APk5LGOMOW,FB,1000,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.08940000000000001, 'goals_added_above_avg': 0.014100000000000001, 'count_actions': 88}, {'action_type': 'Fouling', 'goals_added_raw': 0.304, 'goals_added_above_avg': 0.3466, 'count_actions': 19}, {'action_type': 'Interrupting', 'goals_added_raw': 0.4334, 'goals_added_above_avg': -0.20420000000000002, 'count_actions': 112}, {'action_type': 'Passing', 'goals_added_raw': 0.0258, 'goals_added_above_avg': -0.364, 'count_actions': 374}, {'action_type': 'Receiving', 'goals_added_raw': 0.0516, 'goals_added_above_avg': -0.19340000000000002, 'count_actions': 234}, {'action_type': 'Shooting', 'goals_added_raw': 0.08370000000000001, 'goals_added_above_avg': -0.0434, 'count_actions': 4}]"
0x5gkPbP57,pzeQZ6xQKw,FB,43,"[{'action_type': 'Dribbling', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0032, 'count_actions': 0}, {'action_type': 'Fouling', 'goals_added_raw': 0, 'goals_added_above_avg': 0.0018000000000000002, 'count_actions': 0}, {'action_type': 'Interrupting', 'goals_added_raw': -0.0103, 'goals_added_above_avg': -0.037700000000000004, 'count_actions': 4}, {'action_type': 'Passing', 'goals_added_raw': 0.038700000000000005, 'goals_added_above_avg': 0.0219, 'count_actions': 18}, {'action_type': 'Receiving', 'goals_added_raw': 0.0004, 'goals_added_above_avg': -0.0102, 'count_actions': 7}, {'action_type': 'Shooting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0055000000000000005, 'count_actions': 0}]"
0x5gLm2bq7,EKXMeX3Q64,CM,110,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.0092, 'goals_added_above_avg': -0.0195, 'count_actions': 12}, {'action_type': 'Fouling', 'goals_added_raw': 0.0022, 'goals_added_above_avg': -0.0004, 'count_actions': 5}, {'action_type': 'Interrupting', 'goals_added_raw': 0.105, 'goals_added_above_avg': 0.0359, 'count_actions': 6}, {'action_type': 'Passing', 'goals_added_raw': -0.0267, 'goals_added_above_avg': -0.06330000000000001, 'count_actions': 30}, {'action_type': 'Receiving', 'goals_added_raw': 0.0181, 'goals_added_above_avg': -0.0456, 'count_actions': 26}, {'action_type': 'Shooting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0358, 'count_actions': 0}]"
0x5gLpbwq7,APk5LGOMOW,AM,1205,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.427, 'goals_added_above_avg': -0.458, 'count_actions': 132}, {'action_type': 'Fouling', 'goals_added_raw': 0.10010000000000001, 'goals_added_above_avg': -0.040600000000000004, 'count_actions': 33}, {'action_type': 'Interrupting', 'goals_added_raw': 0.5063, 'goals_added_above_avg': 0.001, 'count_actions': 63}, {'action_type': 'Passing', 'goals_added_raw': 0.0323, 'goals_added_above_avg': 0.039, 'count_actions': 288}, {'action_type': 'Receiving', 'goals_added_raw': 0.8886000000000001, 'goals_added_above_avg': -0.8300000000000001, 'count_actions': 269}, {'action_type': 'Shooting', 'goals_added_raw': 0.3764, 'goals_added_above_avg': -0.3502, 'count_actions': 15}]"
0x5gP3gXq7,NWMWlBK5lz,CB,805,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0548, 'goals_added_above_avg': 0.0403, 'count_actions': 71}, {'action_type': 'Fouling', 'goals_added_raw': -0.23570000000000002, 'goals_added_above_avg': -0.1532, 'count_actions': 18}, {'action_type': 'Interrupting', 'goals_added_raw': 0.8861, 'goals_added_above_avg': 0.25570000000000004, 'count_actions': 109}, {'action_type': 'Passing', 'goals_added_raw': 0.3158, 'goals_added_above_avg': -0.1307, 'count_actions': 449}, {'action_type': 'Receiving', 'goals_added_raw': 0.0252, 'goals_added_above_avg': -0.15080000000000002, 'count_actions': 357}, {'action_type': 'Shooting', 'goals_added_raw': 0.0002, 'goals_added_above_avg': -0.089, 'count_actions': 1}]"
