player_id,team_id,minutes_played,data
aDQ0N1Kv5E,EKXMeX3Q64,707,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0102, 'goals_added_above_avg': 0.0134, 'count_actions': 5}, {'action_type': 'Fielding', 'goals_added_raw': 0.0063, 'goals_added_above_avg': 0.0468, 'count_actions': 128}, {'action_type': 'Handling', 'goals_added_raw': -0.0541, 'goals_added_above_avg': -0.0584, 'count_actions': 22}, {'action_type': 'Passing', 'goals_added_raw': 0.6621, 'goals_added_above_avg': 0.2144, 'count_actions': 224}, {'action_type': 'Shotstopping', 'goals_added_raw': -1.2690000000000001, 'goals_added_above_avg': -1.0169, 'count_actions': 39}, {'action_type': 'Sweeping', 'goals_added_raw': -0.029900000000000003, 'goals_added_above_avg': -0.018500000000000003, 'count_actions': 14}]"
BLMv7wr75x,kRQand1MKZ,226,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0206, 'goals_added_above_avg': 0.0217, 'count_actions': 5}, {'action_type': 'Fielding', 'goals_added_raw': 0.0066, 'goals_added_above_avg': 0.0196, 'count_actions': 39}, {'action_type': 'Handling', 'goals_added_raw': 0.023100000000000002, 'goals_added_above_avg': 0.0217, 'count_actions': 4}, {'action_type': 'Passing', 'goals_added_raw': 0.123, 'goals_added_above_avg': -0.0201, 'count_actions': 76}, {'action_type': 'Shotstopping', 'goals_added_raw': -1.0229, 'goals_added_above_avg': -0.9423, 'count_actions': 10}, {'action_type': 'Sweeping', 'goals_added_raw': -0.0031000000000000003, 'goals_added_above_avg': 0.0006000000000000001, 'count_actions': 5}]"
BLMva87Qxe,wvq9B9wQWn,1110,"[{'action_type': 'Claiming', 'goals_added_raw': 0.11, 'goals_added_above_avg': 0.11520000000000001, 'count_actions': 15}, {'action_type': 'Fielding', 'goals_added_raw': 0.1107, 'goals_added_above_avg': 0.1743, 'count_actions': 334}, {'action_type': 'Handling', 'goals_added_raw': -0.4908, 'goals_added_above_avg': -0.49760000000000004, 'count_actions': 44}, {'action_type': 'Passing', 'goals_added_raw': 0.9037000000000001, 'goals_added_above_avg': 0.2008, 'count_actions': 417}, {'action_type': 'Shotstopping', 'goals_added_raw': 0.9222, 'goals_added_above_avg': 1.318, 'count_actions': 61}, {'action_type': 'Sweeping', 'goals_added_raw': -0.0606, 'goals_added_above_avg': -0.0426, 'count_actions': 21}]"
EGMP1vPx5a,YgOMngl5wN,330,"[{'action_type': 'Claiming', 'goals_added_raw': -0.2414, 'goals_added_above_avg': -0.2398, 'count_actions': 5}, {'action_type': 'Fielding', 'goals_added_raw': 0.0115, 'goals_added_above_avg': 0.030500000000000003, 'count_actions': 65}, {'action_type': 'Handling', 'goals_added_raw': 0.0316, 'goals_added_above_avg': 0.0296, 'count_actions': 11}, {'action_type': 'Passing', 'goals_added_raw': 0.1459, 'goals_added_above_avg': -0.0631, 'count_actions': 100}, {'action_type': 'Shotstopping', 'goals_added_raw': 2.0948, 'goals_added_above_avg': 2.2125, 'count_actions': 15}, {'action_type': 'Sweeping', 'goals_added_raw': 0.0064, 'goals_added_above_avg': 0.0117, 'count_actions': 5}]"
EGMP4WVMaY,eVq3ya6MWO,1523,"[{'action_type': 'Claiming', 'goals_added_raw': -0.2771, 'goals_added_above_avg': -0.27, 'count_actions': 9}, {'action_type': 'Fielding', 'goals_added_raw': -0.28, 'goals_added_above_avg': -0.1927, 'count_actions': 279}, {'action_type': 'Handling', 'goals_added_raw': 0.0051, 'goals_added_above_avg': -0.004200000000000001, 'count_actions': 32}, {'action_type': 'Passing', 'goals_added_raw': 0.8693000000000001, 'goals_added_above_avg': -0.0951, 'count_actions': 425}, {'action_type': 'Shotstopping', 'goals_added_raw': -1.5123, 'goals_added_above_avg': -0.9692000000000001, 'count_actions': 49}, {'action_type': 'Sweeping', 'goals_added_raw': 0.1841, 'goals_added_above_avg': 0.2089, 'count_actions': 23}]"
gjMNeXBpQK,NWMWlBK5lz,2004,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0713, 'goals_added_above_avg': 0.0806, 'count_actions': 31}, {'action_type': 'Fielding', 'goals_added_raw': -0.1282, 'goals_added_above_avg': -0.013300000000000001, 'count_actions': 345}, {'action_type': 'Handling', 'goals_added_raw': -0.0145, 'goals_added_above_avg': -0.0267, 'count_actions': 56}, {'action_type': 'Passing', 'goals_added_raw': 0.9477000000000001, 'goals_added_above_avg': -0.32130000000000003, 'count_actions': 610}, {'action_type': 'Shotstopping', 'goals_added_raw': 3.5585, 'goals_added_above_avg': 4.2731, 'count_actions': 81}, {'action_type': 'Sweeping', 'goals_added_raw': -0.6361, 'goals_added_above_avg': -0.6035, 'count_actions': 36}]"
gjMNvV70MK,wvq9B9wQWn,916,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0099, 'goals_added_above_avg': 0.0142, 'count_actions': 9}, {'action_type': 'Fielding', 'goals_added_raw': -0.021, 'goals_added_above_avg': 0.0316, 'count_actions': 150}, {'action_type': 'Handling', 'goals_added_raw': -0.008400000000000001, 'goals_added_above_avg': -0.014, 'count_actions': 32}, {'action_type': 'Passing', 'goals_added_raw': 0.5592, 'goals_added_above_avg': -0.020800000000000003, 'count_actions': 291}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.4721, 'goals_added_above_avg': -0.14550000000000002, 'count_actions': 46}, {'action_type': 'Sweeping', 'goals_added_raw': 0.0868, 'goals_added_above_avg': 0.1017, 'count_actions': 18}]"
gOMn2jBXMw,kRQand1MKZ,187,"[{'action_type': 'Claiming', 'goals_added_raw': 0, 'goals_added_above_avg': 0.0009000000000000001, 'count_actions': 0}, {'action_type': 'Fielding', 'goals_added_raw': 0.002, 'goals_added_above_avg': 0.012700000000000001, 'count_actions': 19}, {'action_type': 'Handling', 'goals_added_raw': 0.0064, 'goals_added_above_avg': 0.0053, 'count_actions': 6}, {'action_type': 'Passing', 'goals_added_raw': 0.09, 'goals_added_above_avg': -0.0284, 'count_actions': 51}, {'action_type': 'Shotstopping', 'goals_added_raw': 0.0488, 'goals_added_above_avg': 0.1155, 'count_actions': 9}, {'action_type': 'Sweeping', 'goals_added_raw': 0.007, 'goals_added_above_avg': 0.01, 'count_actions': 3}]"
gOMn6lylMw,vzqoOgNqap,2015,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0122, 'goals_added_above_avg': 0.021500000000000002, 'count_actions': 28}, {'action_type': 'Fielding', 'goals_added_raw': 0.0673, 'goals_added_above_avg': 0.18280000000000002, 'count_actions': 461}, {'action_type': 'Handling', 'goals_added_raw': -0.0596, 'goals_added_above_avg': -0.0719, 'count_actions': 55}, {'action_type': 'Passing', 'goals_added_raw': 0.8648, 'goals_added_above_avg': -0.4112, 'count_actions': 675}, {'action_type': 'Shotstopping', 'goals_added_raw': 1.2131, 'goals_added_above_avg': 1.9316, 'count_actions': 77}, {'action_type': 'Sweeping', 'goals_added_raw': 0.0041, 'goals_added_above_avg': 0.0369, 'count_actions': 38}]"
gOMnlA96qw,X0Oq66zq6D,1363,"[{'action_type': 'Claiming', 'goals_added_raw': 0.09870000000000001, 'goals_added_above_avg': 0.105, 'count_actions': 18}, {'action_type': 'Fielding', 'goals_added_raw': 0.0041, 'goals_added_above_avg': 0.0823, 'count_actions': 282}, {'action_type': 'Handling', 'goals_added_raw': -0.0635, 'goals_added_above_avg': -0.0719, 'count_actions': 49}, {'action_type': 'Passing', 'goals_added_raw': 0.7504000000000001, 'goals_added_above_avg': -0.11270000000000001, 'count_actions': 421}, {'action_type': 'Shotstopping', 'goals_added_raw': 1.764, 'goals_added_above_avg': 2.25, 'count_actions': 75}, {'action_type': 'Sweeping', 'goals_added_raw': -0.14100000000000001, 'goals_added_above_avg': -0.1188, 'count_actions': 22}]"
